subject,predicate,object,truth,degree_product,adamic_adar,katz,kl,jaccard,ks,kl_rel,pathent,simrank,predpath,pra,ensemble_score
http://dbpedia.org/resource/Vacanze_di_Natale,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Luigi_De_Laurentiis,1,174.0,0.0,0.005875,0.101985,0.0,0.091529,0.141406,1099.463927,0.000159,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Demons_of_the_Mind,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Michael_Carreras,1,636.0,0.0,0.01,0.096924,0.0,0.102234,0.141036,3323.445154,3.7e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Andrew_Lazar,1,250.0,0.0,0.001125,0.113853,0.0,0.09055,0.16304,191.10721,2.4e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dino_De_Laurentiis,1,2240.0,0.0,0.008375,0.091071,0.0,0.083542,0.153753,1360.353446,5.5e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Celine_Rattray,1,182.0,0.0,0.000125,0.092763,0.0,0.069896,0.118348,6.544129,2.2e-05,0.0,1.0,0.37285642744687664
http://dbpedia.org/resource/All_at_Sea_(1935_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Robert_Arthur_(film_producer),1,594.0,0.0,0.000125,0.061537,0.0,0.063676,0.07368,-3.457065,1.5e-05,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Africa_Squeaks,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Leon_Schlesinger,1,1818.0,0.161383,0.092875,0.08325,0.003247,0.087066,0.144505,4553.771805,0.000204,1.0,1.0,0.8319901682263801
http://dbpedia.org/resource/Dastak_(1996_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Mukesh_Bhatt,1,708.0,0.247338,0.023375,0.109642,0.014286,0.110357,0.170138,3701.306265,0.000611,1.0,1.0,0.8319901682263801
http://dbpedia.org/resource/All_the_Best:_Fun_Begins,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ajay_Devgn,1,1440.0,0.288539,0.05725,0.172786,0.007634,0.251068,0.921483,5666.199403,0.000571,1.0,1.0,0.8319901682263801
http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Walt_Disney,1,1566.0,0.0,0.0585,0.077152,0.0,0.057361,0.135866,3842.866994,9e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Almost_Married_(1932_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/William_Sistrom,1,384.0,0.0,0.00075,0.101616,0.0,0.082842,0.142558,194.241124,1.7e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/Adventure_in_the_Hopfields,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Roger_Proudlock,1,85.0,0.0,0.001,0.108929,0.0,0.086855,0.132865,183.44279,6.9e-05,0.0,1.0,0.37285642744687664
http://dbpedia.org/resource/Valley_of_the_Giants_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Louis_F._Edelman,1,264.0,0.0,0.00425,0.09356,0.0,0.099014,0.120333,2125.268579,1.7e-05,1.0,1.0,0.8590069956286928
http://dbpedia.org/resource/1971_(2007_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Amrit_Sagar,1,27.0,0.286,0.00275,0.178727,0.090909,0.080322,0.190116,52.012765,0.008416,0.0,1.0,0.36341772504456427
http://dbpedia.org/resource/All_Three_of_Us,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Simon_Istolainen,1,12.0,0.0,0.00025,0.101339,0.0,0.053637,0.095256,48.224205,0.000136,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Devil_May_Hare,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Phil_DeLara,0,8.0,0.0,0.0005,0.100461,0.0,0.045325,0.09256,54.317482,0.000112,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Bosko's_Knight-Mare,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Hugh_Harman,0,392.0,0.0,0.051125,0.198991,0.0,0.240797,0.903906,48418.296707,0.000118,1.0,0.0,0.58024279108324
http://dbpedia.org/resource/Detouring_America,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Merrie_Melodies,0,210.0,0.476631,0.00975,0.09258,0.068182,0.076799,0.12286,479.649678,0.005623,0.0,0.0,0.10755835004456359
http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Clarence_Nash,0,537.0,0.0,0.0415,0.161619,0.0,0.186777,0.921483,3963.310245,7.4e-05,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Stig_Frode_Henriksen,0,64.0,0.0,0.00575,0.324734,0.0,0.398184,0.920218,2636.30367,0.000914,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Vampire_Circus,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/David_Prowse,0,240.0,0.0,0.00075,0.075209,0.0,0.073516,0.078415,72.091933,2.7e-05,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Almost_Married_(1932_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Violet_Heming,0,132.0,0.0,0.0035,0.2943,0.0,0.317516,0.921483,844.28843,1.2e-05,0.0,1.0,0.37285642744687664
http://dbpedia.org/resource/Amy_(2015_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Amy_Winehouse,0,188.0,0.0,0.018125,0.206179,0.0,0.209847,0.901841,24601.165292,0.000228,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dante_Alighieri,0,363.0,0.0,0.0,0.054689,0.0,0.035207,0.05871,-15.8954,1.3e-05,0.0,0.0,0.07528113162878798
http://dbpedia.org/resource/Adventure_in_the_Hopfields,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dandy_Nichols,0,60.0,0.0,0.0,0.072125,0.0,0.058632,0.075134,-18.492326,5.6e-05,0.0,0.0,0.10203404293719734
http://dbpedia.org/resource/Against_All_Odds_(1924_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/William_Scott_(actor),0,48.0,0.0,0.002375,0.078857,0.0,0.049861,0.085196,1962.330472,4.4e-05,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Dante's_Inferno_(1935_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dante_Alighieri,0,297.0,0.0,0.000125,0.058593,0.0,0.03012,0.053684,-1.821527,1.1e-05,0.0,0.0,0.09409222290142155
http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Virgil_Ross,0,30.0,0.0,0.0005,0.057825,0.0,0.023173,0.051531,28.948902,2.9e-05,0.0,0.0,0.07343496005091416
http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Alyson_Hannigan,0,231.0,0.0,0.006,0.247248,0.0,0.328225,0.921483,1516.705719,0.00016,0.0,1.0,0.37285642744687664
http://dbpedia.org/resource/1971_(2007_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Vivek_Mishra,0,27.0,0.0,0.002125,0.476505,0.0,0.481277,0.921483,738.275196,0.000494,0.0,1.0,0.37285642744687664
