subject,predicate,object,truth,adamic_adar,katz,jaccard,simrank,kl_rel,degree_product,pra,ks,kl,pathent,predpath,ensemble_score
http://dbpedia.org/resource/Harry_Kroto,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lewes,1,0.14747,0.008375,0.00813,0.000244,0.125439,1819.0,1.0,0.054482,0.080296,903.526384,1.0,0.9599398995971735
http://dbpedia.org/resource/Bernhard_Neumann,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Canberra,1,0.095666,0.072875,0.001007,0.000156,0.104703,21384.0,1.0,0.04137,0.072212,3612.205771,1.0,0.9598701451328878
http://dbpedia.org/resource/Frederick_G._Donnan,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/England,1,0.12384,0.051125,3.2e-05,9e-05,0.130141,435484.0,1.0,0.035541,0.056471,3228.969499,1.0,0.9594994391000095
http://dbpedia.org/resource/Alexander_Ross_Clarke,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Reigate,1,0.0,0.000125,0.0,9.5e-05,0.054971,462.0,1.0,0.022113,0.05121,-8.003356,0.0,0.19316019679004193
http://dbpedia.org/resource/George_Dantzig,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Stanford,_California",1,0.124371,0.016,0.00431,0.000314,0.09006,8022.0,1.0,0.032616,0.070317,1944.088326,1.0,0.956941737990733
http://dbpedia.org/resource/Elving_Anderson,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Stillwater,_Minnesota",1,0.0,0.000625,0.0,0.000203,0.061299,444.0,1.0,0.028086,0.0727,57.52534,1.0,0.9548928699801513
http://dbpedia.org/resource/Walter_Wilczynski,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Atlanta,1,0.0,0.00375,0.0,8.2e-05,0.075321,17960.0,1.0,0.037641,0.065896,619.713354,1.0,0.9594994391000095
http://dbpedia.org/resource/Gene_Amdahl,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Palo_Alto,_California",1,0.0,0.001875,0.0,8.6e-05,0.094561,6512.0,1.0,0.047538,0.074377,239.057831,1.0,0.9599398995971735
http://dbpedia.org/resource/Wang_Buxuan,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/China,1,0.79522,0.2855,0.000248,0.000297,0.1639,193440.0,1.0,0.073263,0.070209,3984.708762,1.0,0.959995703168602
http://dbpedia.org/resource/Walter_Houser_Brattain,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Seattle,1,0.0,0.0025,0.0,0.000129,0.108716,37785.0,1.0,0.048846,0.066668,346.621746,0.0,0.19282858886076565
http://dbpedia.org/resource/George_C._Clerk,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Accra,1,1.976597,0.389,0.005516,0.000946,0.893524,26355.0,0.0,0.22779,0.122927,6177.231759,1.0,0.9579556168317245
http://dbpedia.org/resource/Harold_Beverage,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Port_Jefferson,_New_York",1,0.084576,0.0055,0.015873,0.00048,0.113844,348.0,1.0,0.048087,0.089198,471.860614,0.0,0.19282858886076565
http://dbpedia.org/resource/William_Astbury,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Leeds,1,0.090748,0.030625,0.000707,0.000203,0.073581,14060.0,1.0,0.031081,0.062328,3177.187903,1.0,0.9556076398633548
http://dbpedia.org/resource/George_Kauffman,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/California,1,0.157158,0.066125,4.1e-05,0.000114,0.132082,194144.0,1.0,0.029151,0.057274,3614.863497,1.0,0.9548928699801513
http://dbpedia.org/resource/University_of_Hull,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Global_U8_Consortium,1,0.0,0.000875,0.0,2.4e-05,0.052955,1550.0,0.0,0.028982,0.070137,77.126409,0.0,0.1742978738368984
http://dbpedia.org/resource/University_of_Nottingham_Malaysia_Campus,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,0.0,0.018125,0.0,4.9e-05,0.171342,2730.0,0.0,0.096454,0.097864,2433.008598,1.0,0.9572383803563229
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,0.0,0.098375,0.0,0.000975,0.093017,3225.0,1.0,0.048294,0.081264,3261.06675,1.0,0.9599398995971735
http://dbpedia.org/resource/University_of_Helsinki,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_the_Arctic,1,0.113156,0.0505,0.003861,0.000259,0.128974,10500.0,0.0,0.109489,0.108829,6870.15909,0.0,0.17026217700694207
http://dbpedia.org/resource/University_of_Mysore,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,0.194269,0.0665,0.001377,0.001721,0.158215,52890.0,1.0,0.105639,0.086115,3459.973038,1.0,0.9621527815858628
http://dbpedia.org/resource/University_School_of_Law_and_Legal_Studies,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,0.0,0.118,0.0,0.000887,0.102755,4515.0,1.0,0.054053,0.084291,3025.820713,1.0,0.9599398995971735
http://dbpedia.org/resource/University_of_Queensland,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Washington_University_in_St._Louis,1,0.621335,0.00775,0.001001,9.8e-05,0.245842,247975.0,0.0,0.094868,0.112231,567.654871,1.0,0.9572383803563229
http://dbpedia.org/resource/University_of_Sydney,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,0.0,0.0545,0.0,6.3e-05,0.161186,233100.0,0.0,0.123778,0.099641,3290.742635,1.0,0.9572383803563229
http://dbpedia.org/resource/University_of_Dundee,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,0.0,0.03825,0.0,3.6e-05,0.134478,29610.0,0.0,0.103387,0.086867,3128.732501,1.0,0.9572383803563229
http://dbpedia.org/resource/Jagadguru_Ramanandacharya_Rajasthan_Sanskrit_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,0.0,0.123125,0.0,0.000976,0.102157,4515.0,1.0,0.057674,0.085136,3059.958249,1.0,0.959995703168602
http://dbpedia.org/resource/University_of_Salford,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1,0.0,0.006375,0.0,0.000115,0.26507,1482.0,0.0,0.120162,0.148875,852.427646,1.0,0.9572383803563229
http://dbpedia.org/resource/University_of_Dar_es_Salaam,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_African_Universities,1,0.0,0.006625,0.0,4.1e-05,0.120884,5472.0,0.0,0.09085,0.105982,804.565462,1.0,0.9572383803563229
http://dbpedia.org/resource/Teesside_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1,0.0,0.0035,0.0,9.2e-05,0.131747,437.0,0.0,0.077956,0.094924,466.865007,1.0,0.9568401048666917
http://dbpedia.org/resource/Jahangirnagar_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh),1,0.116037,0.025125,0.01,0.001742,0.08657,2170.0,0.0,0.05777,0.09114,3201.408006,1.0,0.9551587231102334
http://dbpedia.org/resource/University_of_Kota,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Indian_Universities,1,0.089428,0.049875,0.008403,0.001401,0.128917,999.0,0.0,0.048626,0.080215,3551.287194,1.0,0.9551029195388049
http://dbpedia.org/resource/Valley_of_the_Giants_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Louis_F._Edelman,1,0.0,0.00425,0.0,1.7e-05,0.120333,264.0,1.0,0.099014,0.09356,2125.268579,1.0,0.9621527815858628
http://dbpedia.org/resource/All_at_Sea_(1935_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Robert_Arthur_(film_producer),1,0.0,0.000125,0.0,1.5e-05,0.07368,594.0,0.0,0.063676,0.061537,-3.457065,0.0,0.1683473017977376
http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Andrew_Lazar,1,0.0,0.001125,0.0,2.4e-05,0.16304,250.0,1.0,0.09055,0.113853,191.10721,1.0,0.9621527815858628
http://dbpedia.org/resource/1971_(2007_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Amrit_Sagar,1,0.286,0.00275,0.090909,0.008416,0.190116,27.0,1.0,0.080322,0.178727,52.012765,0.0,0.19066700068546974
http://dbpedia.org/resource/Adventure_in_the_Hopfields,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Roger_Proudlock,1,0.0,0.001,0.0,6.9e-05,0.132865,85.0,1.0,0.086855,0.108929,183.44279,0.0,0.18901234070110973
http://dbpedia.org/resource/Africa_Squeaks,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Leon_Schlesinger,1,0.161383,0.092875,0.003247,0.000204,0.144505,1818.0,1.0,0.087066,0.08325,4553.771805,1.0,0.9621527815858628
http://dbpedia.org/resource/Demons_of_the_Mind,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Michael_Carreras,1,0.0,0.01,0.0,3.7e-05,0.141036,636.0,1.0,0.102234,0.096924,3323.445154,1.0,0.9621527815858628
http://dbpedia.org/resource/All_Three_of_Us,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Simon_Istolainen,1,0.0,0.00025,0.0,0.000136,0.095256,12.0,0.0,0.053637,0.101339,48.224205,0.0,0.17166019682863473
http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Walt_Disney,1,0.0,0.0585,0.0,9e-05,0.135866,1566.0,1.0,0.057361,0.077152,3842.866994,1.0,0.959995703168602
http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Celine_Rattray,1,0.0,0.000125,0.0,2.2e-05,0.118348,182.0,1.0,0.069896,0.092763,6.544129,0.0,0.19192495005622226
http://dbpedia.org/resource/Vacanze_di_Natale,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Luigi_De_Laurentiis,1,0.0,0.005875,0.0,0.000159,0.141406,174.0,1.0,0.091529,0.101985,1099.463927,1.0,0.9621527815858628
http://dbpedia.org/resource/Almost_Married_(1932_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/William_Sistrom,1,0.0,0.00075,0.0,1.7e-05,0.142558,384.0,1.0,0.082842,0.101616,194.241124,1.0,0.9621527815858628
http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dino_De_Laurentiis,1,0.0,0.008375,0.0,5.5e-05,0.153753,2240.0,1.0,0.083542,0.091071,1360.353446,1.0,0.9621527815858628
http://dbpedia.org/resource/Dastak_(1996_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Mukesh_Bhatt,1,0.247338,0.023375,0.014286,0.000611,0.170138,708.0,1.0,0.110357,0.109642,3701.306265,1.0,0.9621527815858628
http://dbpedia.org/resource/All_the_Best:_Fun_Begins,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ajay_Devgn,1,0.288539,0.05725,0.007634,0.000571,0.921483,1440.0,1.0,0.251068,0.172786,5666.199403,1.0,0.9628700180612644
http://dbpedia.org/resource/Vanilla_Sky,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vinyl_Films,1,0.323515,0.02125,0.045455,0.00185,0.206199,112.0,1.0,0.142983,0.165646,6180.482447,1.0,0.9622201307237939
http://dbpedia.org/resource/Almost_Famous,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vinyl_Films,1,0.323515,0.014,0.043478,0.002043,0.206199,119.0,1.0,0.14762,0.165646,4882.638792,1.0,0.9622201307237939
http://dbpedia.org/resource/Devil_May_Hare,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.151518,0.129625,0.002024,0.000418,0.114672,1964.0,1.0,0.056899,0.072483,4366.475233,1.0,0.959995703168602
http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,0.112625,0.0,0.000367,0.104798,2455.0,1.0,0.062575,0.075283,4772.574698,1.0,0.959995703168602
http://dbpedia.org/resource/Foxy_Brown_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_International_Pictures,1,0.0,0.06925,0.0,4.3e-05,0.926777,3040.0,1.0,0.223697,0.144089,5781.615621,0.0,0.18891178653830118
http://dbpedia.org/resource/Avengers:_Endgame,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Marvel_Studios,1,0.0,0.03,0.0,5.7e-05,0.139229,2288.0,1.0,0.099586,0.102522,5983.400828,1.0,0.9621527815858628
http://dbpedia.org/resource/Bosko's_Knight-Mare,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,0.083125,0.0,0.00029,0.122513,3437.0,1.0,0.061151,0.07736,4206.861292,1.0,0.959995703168602
http://dbpedia.org/resource/Arachnophobia_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Hollywood_Pictures,1,0.0,0.010125,0.0,2.9e-05,0.124025,949.0,1.0,0.091802,0.094006,1421.851013,1.0,0.9621527815858628
http://dbpedia.org/resource/Veeram_(2014_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vijaya_Vauhini_Studios,1,0.0,0.004375,0.0,0.00036,0.136346,329.0,1.0,0.080659,0.104033,726.018643,1.0,0.9621527815858628
http://dbpedia.org/resource/Along_Came_Polly,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Danny_DeVito,1,0.0,0.042375,0.0,3.1e-05,0.884912,1428.0,1.0,0.210289,0.177779,10118.724965,0.0,0.18966222803858016
http://dbpedia.org/resource/Dante's_Inferno_(1935_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Fox_Film,1,0.127336,0.037125,0.001006,6.6e-05,0.123184,8874.0,1.0,0.076895,0.07613,4481.671573,1.0,0.9601397489728993
http://dbpedia.org/resource/Detouring_America,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.151518,0.153875,0.00202,0.000456,0.114672,2455.0,1.0,0.071479,0.072483,3819.446586,1.0,0.959995703168602
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,0.103,0.0,0.000304,0.114672,1964.0,1.0,0.058832,0.071323,4672.056055,1.0,0.959995703168602
http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Film4_Productions,1,0.0,0.0015,0.0,1.6e-05,0.116106,2110.0,1.0,0.059107,0.073945,200.234936,1.0,0.959995703168602
http://dbpedia.org/resource/Fantastic_Four_(2005_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Marvel_Entertainment,1,0.0,0.006375,0.0,4.6e-05,0.134565,1387.0,1.0,0.093065,0.091837,1182.116472,1.0,0.9621527815858628
http://dbpedia.org/resource/University_of_Sunderland,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Sunderland,1,0.413299,0.112375,0.002821,0.000176,0.867483,25574.0,0.0,0.16733,0.133125,3747.683995,0.0,0.17091206434441253
http://dbpedia.org/resource/University_of_Bristol,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Bristol,1,15.692147,0.097125,0.010477,0.000757,0.444578,1135700.0,1.0,0.263943,0.107311,3695.464819,0.0,0.1884227265303267
http://dbpedia.org/resource/University_of_Sheffield,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Sheffield,1,10.214315,0.08,0.010112,0.000547,0.326941,480697.0,1.0,0.235055,0.105547,3913.047047,1.0,0.9628700180612644
http://dbpedia.org/resource/University_of_Melbourne,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Melbourne,1,117.272971,1.357125,0.037448,0.002131,0.444578,4993365.0,1.0,0.205682,0.096773,7516.141826,1.0,0.9600586685885841
http://dbpedia.org/resource/University_of_Edinburgh,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Edinburgh,1,127.943485,1.18375,0.057868,0.001282,0.4014,4781400.0,1.0,0.20204,0.102871,9086.064527,1.0,0.9316873193452913
http://dbpedia.org/resource/Dr._NTR_University_of_Health_Sciences,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Vijayawada,1,0.207532,0.041875,0.009852,0.002589,0.089792,3534.0,0.0,0.034953,0.075315,5492.86195,0.0,0.1742978738368984
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Karnataka,1,0.29654,0.673125,0.000333,0.001168,0.169263,30020.0,1.0,0.055584,0.06883,3656.60249,1.0,0.959995703168602
http://dbpedia.org/resource/University_of_the_Sunshine_Coast,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Sunshine_Coast,_Queensland",1,0.0,0.003625,0.0,0.00102,0.167864,728.0,0.0,0.074875,0.124671,576.228489,0.0,0.17077370974503733
http://dbpedia.org/resource/University_of_Salford,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/City_of_Salford,1,1.416916,0.01675,0.010791,0.000469,0.210899,15834.0,1.0,0.185371,0.119152,1213.401424,1.0,0.9628700180612644
http://dbpedia.org/resource/Australian_National_University,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Acton,_Australian_Capital_Territory",1,1.391138,0.021625,0.004396,0.001704,0.302972,4032.0,0.0,0.254179,0.232784,2171.516075,0.0,0.17002999747668193
http://dbpedia.org/resource/University_of_Westminster,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/London,1,5.229067,0.714375,0.000567,0.000405,0.250664,3534310.0,0.0,0.122887,0.077964,2896.751227,1.0,0.9572383803563229
http://dbpedia.org/resource/University_of_Otago,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Dunedin,1,29.979805,0.172875,0.045455,0.002403,0.398905,342792.0,1.0,0.255704,0.118876,5198.330816,1.0,0.9628700180612644
http://dbpedia.org/resource/Texas_A&M_University_at_Qatar,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Education_City,1,0.375288,0.00925,0.095238,0.004013,0.867483,120.0,0.0,0.288526,0.269684,845.841511,1.0,0.957025643520329
http://dbpedia.org/resource/University_of_Victoria,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Greater_Victoria,1,0.097095,0.0055,0.007299,0.000845,0.114238,1280.0,0.0,0.09291,0.113853,372.58779,0.0,0.17026217700694207
http://dbpedia.org/resource/Davangere_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Davanagere,1,0.11494,0.014625,0.015385,0.001495,0.08765,413.0,0.0,0.031953,0.072581,1642.963876,1.0,0.9510226759340183
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/M._Rajesh,1,0.0,0.010875,0.0,0.000282,0.917028,143.0,1.0,0.347842,0.280509,5376.503529,1.0,0.9628480796001954
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Chuck_Jones,1,0.0,0.0635,0.0,0.000304,0.118682,1160.0,1.0,0.050625,0.075352,5384.836286,1.0,0.9599398995971735
http://dbpedia.org/resource/Desert_Blossoms,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Arthur_Rosson,1,0.0,0.009,0.0,6.1e-05,0.084061,496.0,0.0,0.072424,0.071599,5069.232897,1.0,0.9551587231102334
http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Tommy_Wirkola,1,0.0,0.006625,0.0,0.000394,0.917028,72.0,1.0,0.369856,0.312771,4092.295769,1.0,0.9629204175631584
http://dbpedia.org/resource/Dance_Charlie_Dance,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Frank_McDonald_(director),1,0.0,0.006125,0.0,1.8e-05,0.134593,1144.0,1.0,0.072663,0.093621,1179.067132,1.0,0.959995703168602
http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Jesse_Dylan,1,0.0,0.00125,0.0,6.1e-05,0.112067,154.0,0.0,0.051014,0.095621,189.873131,1.0,0.9551029195388049
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Yasuomi_Umetsu,1,0.0,0.0,0.0,3.5e-05,0.063799,110.0,0.0,0.028499,0.067117,-17.617858,0.0,0.1742978738368984
http://dbpedia.org/resource/Vacanze_di_Natale,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Carlo_Vanzina,1,0.0,0.044875,0.0,0.000237,0.917028,474.0,1.0,0.260638,0.186239,22104.080196,1.0,0.9628700180612644
http://dbpedia.org/resource/Deep_Impact_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Mimi_Leder,1,0.0,0.000625,0.0,3.4e-05,0.126485,270.0,0.0,0.063619,0.103567,91.408136,0.0,0.1731747863620546
