subject,predicate,object,truth,kl,adamic_adar,degree_product,kl_rel,jaccard,katz,ks,simrank,pathent,predpath,pra,ensemble_score
http://dbpedia.org/resource/Amazon_(company),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Alexa_Internet,1,0.324734,0.194051,1384.0,0.820536,0.005556,0.08825,0.530097,0.000303,10201.603504,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Condé_Nast,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Pitchfork_(website),1,0.383224,0.0,360.0,0.729614,0.0,0.01275,0.305732,0.000318,3595.479646,1.0,1.0,0.6911433488431569
http://dbpedia.org/resource/EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Parlophone,1,0.123232,44.687614,3167250.0,0.912337,0.030886,2.544875,0.364621,0.000359,9699.157386,1.0,1.0,0.6795222149219311
http://dbpedia.org/resource/Access_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Warner_Music_Group,1,0.087914,0.369269,49128.0,0.204088,0.000463,0.011875,0.049962,4.6e-05,523.779505,1.0,0.0,0.6536193901516528
http://dbpedia.org/resource/Kris_Aquino__K_Productions__1,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Star_Cinema,1,0.080208,0.428807,1476.0,0.137307,0.008108,0.0725,0.042584,0.000903,4841.571627,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Compaq,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Digital_Equipment_Corporation,1,0.133799,1.730168,2448.0,0.220851,0.049505,0.030125,0.176096,0.000869,3491.144038,1.0,1.0,0.6852839738431569
http://dbpedia.org/resource/Lopez_Holdings_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/ABS-CBN_Corporation,1,0.152513,1.800353,4662.0,0.912337,0.025926,0.226625,0.433548,0.001211,9401.79159,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/Vivendi,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Universal_Music_Group,1,0.080399,0.783252,173970.0,0.171216,0.000768,0.01775,0.064654,9.5e-05,2078.213805,1.0,0.0,0.6481303883563683
http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1,0.12749,0.784016,101304.0,0.912337,0.002876,0.34175,0.17124,0.000167,5004.36961,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/CBS_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1,0.12749,0.535516,41272.0,0.912337,0.003064,0.307875,0.158616,0.000157,4875.032725,1.0,1.0,0.6912409649219311
