subject,predicate,object,truth,katz,kl,jaccard,degree_product,kl_rel,adamic_adar,pra,ks,pathent,predpath,simrank,ensemble_score
http://dbpedia.org/resource/Frédéric_Passy,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.01075,0.106142,0.0,708.0,0.125409,0.0,1.0,0.062235,2063.265915,1.0,7.9e-05,0.9579303691830959
http://dbpedia.org/resource/Shirin_Ebadi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.009625,0.111491,0.0,649.0,0.14238,0.0,1.0,0.069343,1783.496587,1.0,4.3e-05,0.9579303691830959
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.03875,0.088692,0.0,19511.0,0.15779,0.0,0.0,0.080369,3139.331452,1.0,0.000155,0.1786113072623187
http://dbpedia.org/resource/Gerard_'t_Hooft,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.01075,0.11531,0.004854,5012.0,0.155231,0.40243,1.0,0.104978,1314.470924,1.0,0.000181,0.9897297619205785
http://dbpedia.org/resource/Philipp_Lenard,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.01675,0.102345,0.0,2506.0,0.138918,0.0,1.0,0.07954,2454.767508,1.0,0.00018,0.9579303691830959
http://dbpedia.org/resource/Albert_A._Michelson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.025375,0.099418,0.0,5191.0,0.154011,0.0,0.0,0.073417,3859.298835,1.0,8.3e-05,0.3213954743561714
http://dbpedia.org/resource/Guglielmo_Marconi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.005625,0.080737,0.0,2685.0,0.138918,0.0,0.0,0.063682,992.264039,1.0,7.6e-05,0.7880043782235283
http://dbpedia.org/resource/Wilhelm_Wien,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.017625,0.075533,0.0,3222.0,0.082401,0.0,0.0,0.035842,2643.052575,1.0,0.0001,0.7880043782235283
http://dbpedia.org/resource/Brian_Josephson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.034625,0.091845,0.0,1969.0,0.175424,0.0,1.0,0.099461,4122.837112,1.0,0.000106,0.8650931835004596
http://dbpedia.org/resource/Ernst_Ruska,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.03975,0.085613,0.0,2327.0,0.154011,0.0,1.0,0.07289,3875.036043,1.0,6.1e-05,0.8650931835004596
http://dbpedia.org/resource/Gerd_Binnig,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.01575,0.094613,0.0,1969.0,0.158773,0.0,1.0,0.093992,2148.269676,1.0,5.9e-05,0.9579303691830959
http://dbpedia.org/resource/Charles_Édouard_Guillaume,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.03875,0.085613,0.0,1969.0,0.154011,0.0,1.0,0.069962,3916.288036,1.0,8e-05,0.8650931835004596
http://dbpedia.org/resource/Heinrich_Rohrer,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.038375,0.086348,0.0,1790.0,0.156406,0.0,1.0,0.075942,3911.249142,1.0,7.7e-05,0.8650931835004596
http://dbpedia.org/resource/Manne_Siegbahn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.052125,0.117786,0.010256,3222.0,0.221156,0.768103,1.0,0.138304,3971.140044,1.0,0.000448,0.9785680744016577
http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.000375,0.099737,0.0,450.0,0.129469,0.0,0.0,0.063311,37.336099,1.0,8e-05,0.7880043782235283
http://dbpedia.org/resource/Henry_Kissinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.001375,0.065314,0.0,2419.0,0.063241,0.0,0.0,0.036703,137.54209,1.0,4e-05,0.7880043782235283
http://dbpedia.org/resource/Juan_Manuel_Santos,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.001,0.087872,0.0,8732.0,0.065825,0.0,0.0,0.045317,103.616206,1.0,1.4e-05,0.7880043782235283
http://dbpedia.org/resource/James_Watson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.045125,0.116179,0.02381,5856.0,0.159207,1.805079,0.0,0.120275,3907.609893,1.0,0.000504,0.949033415425397
http://dbpedia.org/resource/Ivan_Pavlov,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.012625,0.071693,0.0,3843.0,0.11355,0.0,0.0,0.051519,1765.851026,1.0,0.000111,0.7880043782235283
http://dbpedia.org/resource/Jacobus_Henricus_van_'t_Hoff,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1,0.01625,0.093069,0.0,4740.0,0.123494,0.0,0.0,0.067111,2847.95703,1.0,0.000157,0.7880043782235283
http://dbpedia.org/resource/Andrew_Huxley,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.044,0.092817,0.0,2928.0,0.179716,0.0,1.0,0.097506,3939.755435,1.0,5.6e-05,0.8650931835004596
http://dbpedia.org/resource/Julius_Axelrod,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.016875,0.077436,0.0,2562.0,0.129796,0.0,0.0,0.05178,2328.82878,1.0,9.6e-05,0.7880043782235283
http://dbpedia.org/resource/Alexander_Fleming,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.0145,0.101027,0.0,2745.0,0.146754,0.0,0.0,0.094878,2128.405898,1.0,6.3e-05,0.7880043782235283
http://dbpedia.org/resource/Charles_Thomson_Rees_Wilson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.048125,0.095956,0.0,3222.0,0.154011,0.0,1.0,0.095517,4077.829147,1.0,0.000144,0.8650931835004596
http://dbpedia.org/resource/Ahmed_Zewail,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1,0.045875,0.090473,0.0,4740.0,0.166933,0.0,1.0,0.10682,4098.190539,1.0,8.4e-05,0.8650931835004596
