subject,predicate,object,truth,kl,jaccard,adamic_adar,degree_product,kl_rel,ks,pathent,simrank,predpath,katz,pra,ensemble_score
http://dbpedia.org/resource/University_of_Bristol,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Bristol,1,0.107311,0.010477,15.692147,1135700.0,0.444578,0.263943,3695.464819,0.000757,0.0,0.097125,1.0,0.724609375
http://dbpedia.org/resource/Australian_National_University,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Acton,_Australian_Capital_Territory",1,0.232784,0.004396,1.391138,4032.0,0.302972,0.254179,2171.516075,0.001704,0.0,0.021625,0.0,0.28125
http://dbpedia.org/resource/University_of_Sheffield,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Sheffield,1,0.105547,0.010112,10.214315,480697.0,0.326941,0.235055,3913.047047,0.000547,1.0,0.08,1.0,0.693359375
http://dbpedia.org/resource/University_of_Westminster,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/London,1,0.077964,0.000567,5.229067,3534310.0,0.250664,0.122887,2896.751227,0.000405,1.0,0.714375,0.0,0.201171875
http://dbpedia.org/resource/University_of_Victoria,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Greater_Victoria,1,0.113853,0.007299,0.097095,1280.0,0.114238,0.09291,372.58779,0.000845,0.0,0.0055,0.0,0.265625
http://dbpedia.org/resource/University_of_the_Sunshine_Coast,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Sunshine_Coast,_Queensland",1,0.124671,0.0,0.0,728.0,0.167864,0.074875,576.228489,0.00102,0.0,0.003625,0.0,0.37109375
http://dbpedia.org/resource/University_of_Edinburgh,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Edinburgh,1,0.102871,0.057868,127.943485,4781400.0,0.4014,0.20204,9086.064527,0.001282,1.0,1.18375,1.0,0.671875
http://dbpedia.org/resource/University_of_Salford,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/City_of_Salford,1,0.119152,0.010791,1.416916,15834.0,0.210899,0.185371,1213.401424,0.000469,1.0,0.01675,1.0,0.689453125
http://dbpedia.org/resource/Dr._NTR_University_of_Health_Sciences,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Vijayawada,1,0.075315,0.009852,0.207532,3534.0,0.089792,0.034953,5492.86195,0.002589,0.0,0.041875,0.0,0.27734375
http://dbpedia.org/resource/University_of_Melbourne,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Melbourne,1,0.096773,0.037448,117.272971,4993365.0,0.444578,0.205682,7516.141826,0.002131,1.0,1.357125,1.0,0.708984375
http://dbpedia.org/resource/Texas_A&M_University_at_Qatar,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Education_City,1,0.269684,0.095238,0.375288,120.0,0.867483,0.288526,845.841511,0.004013,1.0,0.00925,0.0,0.220703125
http://dbpedia.org/resource/University_of_Sunderland,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Sunderland,1,0.133125,0.002821,0.413299,25574.0,0.867483,0.16733,3747.683995,0.000176,0.0,0.112375,0.0,0.2734375
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Karnataka,1,0.06883,0.000333,0.29654,30020.0,0.169263,0.055584,3656.60249,0.001168,1.0,0.673125,1.0,0.685546875
http://dbpedia.org/resource/University_of_Otago,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Dunedin,1,0.118876,0.045455,29.979805,342792.0,0.398905,0.255704,5198.330816,0.002403,1.0,0.172875,1.0,0.685546875
http://dbpedia.org/resource/Davangere_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Davanagere,1,0.072581,0.015385,0.11494,413.0,0.08765,0.031953,1642.963876,0.001495,1.0,0.014625,0.0,0.22265625
http://dbpedia.org/resource/Anna_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Dindigul,0,0.14721,0.017544,0.683813,5453.0,0.210899,0.128531,2943.22788,0.005079,0.0,0.03925,0.0,0.27734375
http://dbpedia.org/resource/Lala_Lajpat_Rai_University_of_Veterinary_and_Animal_Sciences,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Narnaund,0,0.100944,0.2,0.226469,35.0,0.102351,0.032687,171.597399,0.013557,1.0,0.0065,0.0,0.240234375
http://dbpedia.org/resource/University_of_Hertfordshire,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Phoenix_(mythology),0,0.057527,0.0,0.0,480.0,0.043031,0.019871,-15.492338,3.6e-05,0.0,0.0,0.0,0.369140625
http://dbpedia.org/resource/University_of_Reading,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Iskandar_Puteri,0,0.074895,0.0,0.0,6583.0,0.079027,0.034134,116.969622,2.5e-05,0.0,0.00075,0.0,0.375
http://dbpedia.org/resource/Wilfrid_Laurier_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Chongqing,0,0.066129,0.0,0.0,44634.0,0.071519,0.043013,203.67563,1.5e-05,0.0,0.002,0.0,0.32421875
http://dbpedia.org/resource/University_of_the_Sunshine_Coast,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Brisbane,0,0.098649,0.001286,1.352375,30199.0,0.291173,0.108914,3241.994066,0.002101,0.0,0.188,1.0,0.716796875
http://dbpedia.org/resource/University_of_Salford,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/MediaCityUK,0,0.105038,0.0,0.0,1482.0,0.100727,0.066261,57.253973,0.000187,0.0,0.0005,0.0,0.373046875
http://dbpedia.org/resource/Amrita_Vishwa_Vidyapeetham,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Amaravati,0,0.08055,0.029412,0.089428,216.0,0.109664,0.04753,619.959372,0.002459,1.0,0.0065,0.0,0.224609375
http://dbpedia.org/resource/University_of_Cumbria,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Universities_UK,0,0.177167,0.0,0.0,1664.0,0.649451,0.192691,3544.245248,0.000143,0.0,0.028625,1.0,0.744140625
http://dbpedia.org/resource/Pondicherry_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Bangalore,0,0.060622,0.000545,0.089428,57696.0,0.090602,0.043145,2689.312088,0.002836,0.0,0.163875,0.0,0.26953125
http://dbpedia.org/resource/University_of_Lincoln,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Leicester,0,0.11774,0.003261,1.630106,22450.0,0.402322,0.106673,3165.167027,0.001252,1.0,0.058375,0.0,0.236328125
http://dbpedia.org/resource/University_College_London,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Bangor,_Gwynedd",0,0.082303,0.0,0.0,163158.0,0.098767,0.060423,3843.214294,0.000129,0.0,0.040625,0.0,0.375
http://dbpedia.org/resource/Jaypee_University_of_Information_Technology,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Shimla,0,0.080185,0.012121,0.24547,1422.0,0.114515,0.055699,2836.467139,0.001063,1.0,0.02425,1.0,0.669921875
http://dbpedia.org/resource/Vardhaman_Mahaveer_Open_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Ajmer,0,0.103351,0.020202,0.22094,744.0,0.09873,0.057226,2311.996229,0.001448,1.0,0.018375,0.0,0.220703125
http://dbpedia.org/resource/University_of_Melbourne,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Werribee,_Victoria",0,0.115611,0.001091,0.095666,30905.0,0.129336,0.08869,3037.031068,0.001153,1.0,0.03625,0.0,0.236328125
