subject,predicate,object,truth,adamic_adar,degree_product,jaccard,kl,katz,kl_rel,ks,pra,pathent,simrank,predpath,ensemble_score
http://dbpedia.org/resource/Gregory_Bateson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Grantchester,1,0.0,588.0,0.0,0.073541,0.000375,0.059199,0.034456,0.0,37.462695,6.8e-05,0.0,0.4480191728013845
http://dbpedia.org/resource/C._S._Forester,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cairo,1,0.215313,51296.0,0.000538,0.076002,0.01175,0.167163,0.045344,1.0,1846.340062,5.1e-05,1.0,0.6549814912409576
http://dbpedia.org/resource/Emma_Goldman,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Toronto,1,0.0,280832.0,0.0,0.059939,0.002125,0.079907,0.037154,1.0,309.403521,2.6e-05,1.0,0.516774746051003
http://dbpedia.org/resource/Abd_al-Rahman_I,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Damascus,1,0.0,5355.0,0.0,0.070612,0.0,0.089886,0.05062,0.0,-12.012694,5.2e-05,0.0,0.4480191728013845
http://dbpedia.org/resource/Augustus_II_the_Strong,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Warsaw,1,0.0,67914.0,0.0,0.072804,0.0015,0.136726,0.077941,1.0,252.209542,0.000299,0.0,0.4169036822777122
http://dbpedia.org/resource/Augustus_II_the_Strong,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Dresden,1,0.0,15290.0,0.0,0.093266,0.000875,0.170009,0.089222,0.0,294.818984,5.6e-05,0.0,0.4480191728013845
http://dbpedia.org/resource/Hawley_Harvey_Crippen,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1,0.096664,91208.0,4.4e-05,0.065432,0.910875,0.178586,0.068404,1.0,2652.600683,0.000512,1.0,0.4946184480400608
http://dbpedia.org/resource/J._R._R._Tolkien,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Bournemouth,1,0.685235,59670.0,0.003478,0.112574,0.013875,0.30864,0.112099,1.0,1166.61031,0.000124,1.0,0.4946184480400608
http://dbpedia.org/resource/Abbas_II_of_Egypt,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alexandria,1,0.0,5688.0,0.0,0.078208,0.002625,0.111936,0.047466,0.0,421.421575,0.000256,0.0,0.4480191728013845
http://dbpedia.org/resource/John_von_Neumann,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Budapest,1,1.77082,602834.0,0.00164,0.086783,0.223,0.239498,0.098702,1.0,4036.581641,0.000134,1.0,0.6549814912409576
http://dbpedia.org/resource/Joris_Ivens,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Nijmegen,1,0.105762,5313.0,0.003953,0.063365,0.0345,0.082723,0.034253,0.0,52271.801762,0.000167,0.0,0.341486972553597
http://dbpedia.org/resource/Benoit_Mandelbrot,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw,1,0.0,37044.0,0.0,0.076464,0.000875,0.085849,0.043088,0.0,245.736336,4.8e-05,0.0,0.4480191728013845
