subject,predicate,object,truth,degree_product,adamic_adar,ks,katz,kl_rel,kl,jaccard,predpath,pathent,simrank,pra,ensemble_score
http://dbpedia.org/resource/VRV_(streaming_service),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1,364020.0,0.3001,0.035436,4.962,0.067423,0.064116,0.000124,1.0,2473.230373,0.000195,0.0,1.0
http://dbpedia.org/resource/Yardbarker,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1,121340.0,0.675258,0.053459,1.110625,0.184371,0.066207,0.000165,1.0,2352.180506,0.000479,0.0,1.0
http://dbpedia.org/resource/ThePlatform,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Seattle,1,17175.0,0.122823,0.093846,0.559875,0.743445,0.109388,0.000291,1.0,2595.329065,0.000159,1.0,1.0
http://dbpedia.org/resource/RockMyRun,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1,72804.0,0.224663,0.082912,3.766875,0.743445,0.090115,8.2e-05,1.0,3279.41788,0.000197,1.0,1.0
http://dbpedia.org/resource/SeatGeek,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/New_York_City,1,95964.0,0.099153,0.083936,7.104,0.743445,0.090208,4.2e-05,1.0,2544.141201,0.000168,1.0,1.0
http://dbpedia.org/resource/HealthyWage,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/New_York_City,1,71973.0,0.084576,0.022525,1.594625,0.091323,0.057777,4.2e-05,1.0,1865.131125,0.000101,0.0,1.0
http://dbpedia.org/resource/23snaps,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1,91208.0,0.190403,0.080003,8.184375,0.743445,0.090624,8.8e-05,1.0,2813.271366,0.000179,1.0,1.0
http://dbpedia.org/resource/Livemusic,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1,114010.0,0.099655,0.068503,3.448625,0.664915,0.090624,4.4e-05,1.0,2471.216556,0.000119,1.0,1.0
http://dbpedia.org/resource/FitFinder,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1,114010.0,0.190403,0.079707,4.10425,0.664915,0.090624,8.8e-05,0.0,2702.805429,0.00028,1.0,1.0
http://dbpedia.org/resource/Yasni,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Germany,1,148267.0,0.393855,0.079436,4.108,0.664915,0.091234,0.000142,1.0,2515.845538,0.00017,1.0,1.0
http://dbpedia.org/resource/Rambler_(portal),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Moscow,1,118576.0,1.439954,0.135129,2.303375,0.743445,0.100901,0.000674,1.0,2841.394683,0.001009,1.0,1.0
http://dbpedia.org/resource/Amen_(website),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Berlin,1,15003.0,0.0,0.002393,0.003375,0.023347,0.04975,0.0,1.0,343.196659,1.6e-05,0.0,1.0
http://dbpedia.org/resource/American_Advisors_Group,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,545796.0,0.255201,0.074099,23.244875,0.664915,0.077981,1.5e-05,1.0,49238.089726,0.000392,1.0,1.0
http://dbpedia.org/resource/ConnectU,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,1091592.0,0.223645,0.021273,23.26775,0.095062,0.050373,1.5e-05,1.0,3497.591067,0.000214,0.0,1.0
http://dbpedia.org/resource/Yardbarker,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,682245.0,0.434809,0.085791,23.700125,0.664915,0.077981,2.2e-05,1.0,2293.17864,0.000406,1.0,1.0
http://dbpedia.org/resource/ThePlatform,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,682245.0,0.084576,0.078945,23.381875,0.793121,0.077981,7e-06,1.0,13991.487002,0.000314,1.0,1.0
http://dbpedia.org/resource/HealthyWage,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,409347.0,0.084576,0.080663,46.6535,0.793121,0.077981,7e-06,1.0,1794.945958,0.000195,1.0,1.0
http://dbpedia.org/resource/MetaTV,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,409347.0,0.304169,0.090476,46.527125,0.793121,0.077981,1.5e-05,1.0,1987.14612,0.000228,1.0,1.0
http://dbpedia.org/resource/Streamzoo,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,272898.0,0.084576,0.112388,69.661125,0.793121,0.077981,7e-06,1.0,1888.868973,0.000526,1.0,1.0
http://dbpedia.org/resource/Live_Well_Financial,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1,272898.0,0.084576,0.05185,46.44075,0.664915,0.077981,7e-06,1.0,1869.831968,0.000743,1.0,1.0
http://dbpedia.org/resource/Are_You_Watching_This%3F!,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Texas,1,66546.0,0.3251,0.089958,3.813375,0.743445,0.096957,0.00027,1.0,4671.755904,0.000279,1.0,1.0
http://dbpedia.org/resource/ConnectU,http://dbpedia.org/ontology/foundationPlace,"http://dbpedia.org/resource/Cambridge,_Massachusetts",1,10616.0,0.084576,0.022895,0.22825,0.066098,0.061284,0.00075,1.0,5216.065142,0.000211,0.0,1.0
http://dbpedia.org/resource/23snaps,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_Kingdom,1,244232.0,0.190403,0.079353,20.188,0.793121,0.083198,3.3e-05,1.0,2528.826165,0.000365,1.0,1.0
http://dbpedia.org/resource/VetUK,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_Kingdom,1,366348.0,0.422672,0.035884,0.16925,0.202022,0.064577,3.3e-05,1.0,3356.979425,0.000775,0.0,1.0
http://dbpedia.org/resource/Are_You_Watching_This%3F!,http://dbpedia.org/ontology/foundationPlace,"http://dbpedia.org/resource/Austin,_Texas",1,10956.0,0.3251,0.102362,0.484125,0.743445,0.11751,0.00164,1.0,3516.174294,0.000187,1.0,1.0
http://dbpedia.org/resource/Dobox,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Nigeria,1,37584.0,0.139709,0.106602,2.3705,0.793121,0.102642,0.00016,1.0,4384.145369,0.000433,1.0,1.0
http://dbpedia.org/resource/Tradus,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Amsterdam,1,25432.0,0.558297,0.121125,1.034,0.743445,0.110323,0.000628,1.0,3842.236344,0.00052,1.0,1.0
http://dbpedia.org/resource/Ticketbud,http://dbpedia.org/ontology/foundationPlace,"http://dbpedia.org/resource/Austin,_Texas",1,7304.0,0.133158,0.099534,0.2695,0.743445,0.11751,0.000547,1.0,5165.942846,0.000146,1.0,1.0
http://dbpedia.org/resource/Tribe_of_Noise,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Amsterdam,1,31790.0,0.124003,0.022769,0.515375,0.032386,0.055458,0.000314,1.0,3733.835721,8.2e-05,0.0,1.0
http://dbpedia.org/resource/RockMyRun,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/San_Diego,1,8595.0,0.224663,0.089008,0.9395,0.743445,0.111603,0.000698,1.0,4018.311615,0.000572,1.0,1.0
http://dbpedia.org/resource/Hootsuite,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Vancouver,1,13036.0,0.123622,0.089815,0.973875,0.664915,0.110021,0.000307,1.0,4075.585936,0.001342,1.0,1.0
