subject,predicate,object,truth,katz,jaccard,degree_product,adamic_adar,kl,kl_rel,pra,pathent,predpath,ks,simrank,ensemble_score
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Yasuomi_Umetsu,1,0.0,0.0,110.0,0.0,0.067117,0.063799,0.0,-17.617858,0.0,0.028499,3.5e-05,0.16666666666666666
http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Tommy_Wirkola,1,0.006625,0.0,72.0,0.0,0.312771,0.917028,1.0,4092.295769,1.0,0.369856,0.000394,1.0
http://dbpedia.org/resource/Anandam,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Srinu_Vaitla,1,0.014,0.0,242.0,0.0,0.244436,0.917028,1.0,11821.604648,1.0,0.3373,0.000375,1.0
http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Jesse_Dylan,1,0.00125,0.0,154.0,0.0,0.095621,0.112067,0.0,189.873131,1.0,0.051014,6.1e-05,1.0
http://dbpedia.org/resource/Desert_Blossoms,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Arthur_Rosson,1,0.009,0.0,496.0,0.0,0.071599,0.084061,0.0,5069.232897,1.0,0.072424,6.1e-05,1.0
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Chuck_Jones,1,0.0635,0.0,1160.0,0.0,0.075352,0.118682,1.0,5384.836286,1.0,0.050625,0.000304,1.0
http://dbpedia.org/resource/Deep_Impact_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Mimi_Leder,1,0.000625,0.0,270.0,0.0,0.103567,0.126485,0.0,91.408136,0.0,0.063619,3.4e-05,0.0
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/M._Rajesh,1,0.010875,0.0,143.0,0.0,0.280509,0.917028,1.0,5376.503529,1.0,0.347842,0.000282,1.0
http://dbpedia.org/resource/Dance_Charlie_Dance,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Frank_McDonald_(director),1,0.006125,0.0,1144.0,0.0,0.093621,0.134593,1.0,1179.067132,1.0,0.072663,1.8e-05,1.0
http://dbpedia.org/resource/Vacanze_di_Natale,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Carlo_Vanzina,1,0.044875,0.0,474.0,0.0,0.186239,0.917028,1.0,22104.080196,1.0,0.260638,0.000237,1.0
http://dbpedia.org/resource/All_Together_(1942_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Jack_King_(animator),1,0.018125,0.0,511.0,0.0,0.088637,0.123568,1.0,2911.788202,1.0,0.076668,3e-05,1.0
http://dbpedia.org/resource/Bowery_Bugs,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Arthur_Davis_(animator),1,0.01775,0.017857,306.0,0.161383,0.099806,0.148613,1.0,2706.533439,1.0,0.072199,0.000682,1.0
http://dbpedia.org/resource/Dangerous_Dan_McFoo,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Tex_Avery,1,0.020375,0.0,822.0,0.0,0.08914,0.138654,1.0,3531.900736,1.0,0.076038,0.00024,1.0
http://dbpedia.org/resource/Uzhaippali,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/P._Vasu,1,0.04,0.0,348.0,0.0,0.182952,0.917028,1.0,6294.009226,1.0,0.202511,0.000264,1.0
http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Danny_DeVito,1,0.032125,0.0,1020.0,0.0,0.177779,0.888714,0.0,10097.875378,0.0,0.212574,2.5e-05,0.0
http://dbpedia.org/resource/Alpine_Antics_(1936_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Bernice_Hansen,0,0.0155,0.0,342.0,0.0,0.094445,0.131316,0.0,2582.774222,0.0,0.073813,0.000106,0.0
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Alexander_Jacobs,0,0.002,0.0,70.0,0.0,0.339454,0.917028,1.0,392.818943,1.0,0.35243,2.2e-05,1.0
http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Walt_Disney,0,0.0585,0.0,1566.0,0.0,0.077152,0.128621,0.0,3842.866994,0.0,0.055354,9.4e-05,0.0
http://dbpedia.org/resource/Africa_Squeaks,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/David_Livingstone,0,0.0,0.0,48.0,0.0,0.046098,0.035528,0.0,-18.814254,0.0,0.018737,5e-06,0.16666666666666666
http://dbpedia.org/resource/All_About_Women,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/William_Chang,0,0.000375,0.0,144.0,0.0,0.099445,0.122243,0.0,75.756128,0.0,0.085339,0.00013,0.0
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Alvin_and_the_Chipmunks,0,0.00125,0.0,360.0,0.0,0.114522,0.151424,0.0,430.834918,0.0,0.086484,0.000207,0.0
http://dbpedia.org/resource/Day_of_the_Dead_(2008_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Ving_Rhames,0,0.011625,0.0,624.0,0.0,0.186682,0.888714,0.0,2212.476027,0.0,0.233,3.9e-05,0.0
http://dbpedia.org/resource/Desert_Blossoms,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Arthur_J._Zellner,0,0.005375,0.0,136.0,0.0,0.260878,0.917028,1.0,1457.585027,1.0,0.28018,0.000116,1.0
http://dbpedia.org/resource/Amy_(1981_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Virginia_Vincent,0,0.0,0.0,48.0,0.0,0.067695,0.065635,0.0,-18.814254,0.0,0.052705,2.2e-05,0.16666666666666666
http://dbpedia.org/resource/Day_Watch_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Valeri_Zolotukhin,0,0.00325,0.0,238.0,0.0,0.111422,0.139642,0.0,450.13473,0.0,0.101094,0.000712,0.0
http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/American_Zoetrope,0,0.000875,0.0,1120.0,0.0,0.085609,0.117002,0.0,95.455775,0.0,0.057884,1.7e-05,0.0
http://dbpedia.org/resource/Bowery_Bugs,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Merrie_Melodies,0,0.025375,0.090909,252.0,0.638014,0.09258,0.11936,0.0,1489.313414,0.0,0.084894,0.005824,0.16666666666666666
http://dbpedia.org/resource/Along_Came_Polly,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Danny_DeVito,0,0.042375,0.0,1428.0,0.0,0.177779,0.903906,0.0,10118.724965,0.0,0.214823,2.6e-05,0.0
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Merrie_Melodies,0,0.0085,0.069767,168.0,0.546875,0.100476,0.144631,0.0,183.659559,0.0,0.070495,0.006416,0.16666666666666666
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Stephen_F._Windon,0,0.006375,0.0,372.0,0.0,0.225531,0.834771,0.0,1405.086078,0.0,0.245264,4e-05,0.0
