subject,predicate,object,truth,adamic_adar,katz,jaccard,kl,degree_product,kl_rel,ks,simrank,pathent,predpath,pra,ensemble_score
http://dbpedia.org/resource/Ivan_Bunin,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Voronezh,1,0.0,0.0045,0.0,0.063488,3906.0,0.092104,0.040782,0.000774,663.183629,1.0,0.0,0.1707337907892251
"http://dbpedia.org/resource/Diana,_Princess_of_Wales",http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Sandringham,_Norfolk",1,0.0,0.00175,0.0,0.14522,110.0,0.153564,0.066223,0.000884,451.637249,0.0,0.0,0.1937434634082727
"http://dbpedia.org/resource/Francis_II,_Holy_Roman_Emperor",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Florence,1,0.0,0.000375,0.0,0.074637,39204.0,0.117967,0.053134,3.7e-05,75.799935,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Ambrose,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Trier,1,0.0,0.0005,0.0,0.079408,3150.0,0.085607,0.044981,9.1e-05,39.572881,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/John_von_Neumann,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Budapest,1,1.77082,0.223,0.00164,0.086783,602834.0,0.239498,0.098702,0.000134,4036.581641,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Jean-Jacques_Rousseau,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Geneva,1,0.0,0.017,0.0,0.075759,131820.0,0.156517,0.088318,4.6e-05,5414.03682,1.0,1.0,0.961020241088313
http://dbpedia.org/resource/John_Stuart_Mill,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London_Borough_of_Islington,1,0.096664,0.00475,0.006667,0.06469,5670.0,0.086751,0.032693,0.000158,257.611134,1.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Benoit_Mandelbrot,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw,1,0.0,0.000875,0.0,0.076464,37044.0,0.085849,0.043088,4.8e-05,245.736336,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Alfonso_IV_of_Aragon,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Naples,1,0.0,0.0,0.0,0.065329,16030.0,0.086678,0.040682,0.000261,-10.431199,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Frédéric_Bastiat,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bayonne,1,0.090548,0.01575,0.006061,0.058658,2533.0,0.082435,0.035427,0.00027,1376.148305,1.0,1.0,0.9715515015965954
http://dbpedia.org/resource/Adelaide_of_Italy,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Orbe,1,0.0,0.000125,0.0,0.065462,273.0,0.047284,0.013433,2.7e-05,0.045584,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Hawley_Harvey_Crippen,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Coldwater,_Michigan",1,0.0,0.0,0.0,0.047743,260.0,0.05043,0.022905,2.8e-05,-16.376854,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Joseph_Conrad,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Berdychiv,1,0.0,0.001625,0.0,0.068299,1408.0,0.092104,0.033671,3.8e-05,197.125284,1.0,1.0,0.961020241088313
http://dbpedia.org/resource/Aaliyah,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Brooklyn,1,0.366699,0.169,0.00032,0.074237,334962.0,0.161752,0.063983,0.000121,2198.101318,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/John_A._Macdonald,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Glasgow,1,0.108585,0.18,0.000217,0.061555,295945.0,0.096233,0.057859,4.4e-05,11211.510585,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Irenaeus,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/İzmir,1,0.100354,0.05025,0.001799,0.077524,6540.0,0.134135,0.056701,0.000164,3550.097641,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Fay_Wray,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alberta,1,0.0,0.0,0.0,0.055191,328689.0,0.084878,0.029596,1.1e-05,-6.083372,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Austen_Henry_Layard,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,1,0.213578,0.009625,9.9e-05,0.067118,151005.0,0.166115,0.045956,0.000118,1172.896717,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Bernardo_O'Higgins,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Chillán,1,0.558111,0.003875,0.015873,0.152603,903.0,0.2766,0.139495,0.001269,252.851295,1.0,1.0,0.9715515015965954
http://dbpedia.org/resource/Henry_Moseley,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Weymouth,_Dorset",1,0.141226,0.013,0.008403,0.078466,1484.0,0.122434,0.051134,0.000142,2152.343521,1.0,1.0,0.9715515015965954
