subject,predicate,object,truth,adamic_adar,jaccard,katz,kl,degree_product,kl_rel,ks,simrank,pathent,predpath,pra,ensemble_score
http://dbpedia.org/resource/University_of_London,http://dbpedia.org/ontology/chancellor,"http://dbpedia.org/resource/Anne,_Princess_Royal",1,2.564337,0.007564,0.0555,0.143032,64100.0,0.324734,0.166083,0.000265,3263.532429,1.0,0.0,0.669921875
http://dbpedia.org/resource/University_of_Dar_es_Salaam,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Jakaya_Kikwete,1,0.883328,0.007092,0.073875,0.1746,19323.0,0.690492,0.257648,0.000524,4231.72194,0.0,0.0,0.380859375
http://dbpedia.org/resource/University_of_Allahabad,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Ashish_Chauhan,1,0.0,0.0,0.000625,0.082981,960.0,0.059586,0.039119,0.000333,54.380431,0.0,0.0,0.3984375
http://dbpedia.org/resource/University_of_Hull,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Virginia_Bottomley,1,0.0,0.0,0.0,0.085104,2635.0,0.060886,0.05079,7e-05,-13.035708,0.0,0.0,0.419921875
http://dbpedia.org/resource/University_of_Greenwich,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Paul_Boateng,1,0.099655,0.014286,0.00425,0.07098,1104.0,0.055995,0.026737,0.000191,138.365688,1.0,0.0,0.669921875
http://dbpedia.org/resource/Tasmanian_Institute_of_Agriculture,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Michael_Field_(politician),1,0.334899,0.083333,0.00825,0.109958,144.0,0.089991,0.039791,0.003537,441.214021,0.0,0.0,0.3984375
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Yang_Fujia,1,0.0,0.0,0.0005,0.086954,40.0,0.05529,0.032285,0.000384,37.130729,0.0,0.0,0.330078125
http://dbpedia.org/resource/University_of_Canterbury,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Amy_Adams_(politician),1,0.0,0.0,0.046375,0.253521,5301.0,0.690492,0.237183,0.000155,4723.180888,0.0,0.0,0.400390625
http://dbpedia.org/resource/University_of_Hertfordshire,http://dbpedia.org/ontology/chancellor,"http://dbpedia.org/resource/Robert_Gascoyne-Cecil,_7th_Marquess_of_Salisbury",1,0.0,0.0,0.0,0.070745,1140.0,0.049565,0.036171,8.8e-05,-14.244432,0.0,0.0,0.419921875
http://dbpedia.org/resource/University_of_Eswatini,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Mswati_III,1,0.0,0.0,0.000125,0.092315,210.0,0.070083,0.0501,0.000202,5.778337,0.0,0.0,0.400390625
http://dbpedia.org/resource/Ulster_University_at_Coleraine,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/James_Nesbitt,1,0.124771,0.018519,0.003625,0.079423,376.0,0.048435,0.022349,0.000508,146.527113,0.0,0.0,0.380859375
http://dbpedia.org/resource/Tamil_Nadu_Fisheries_University,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/List_of_governors_of_Tamil_Nadu,1,0.0,0.0,0.006,0.080574,120.0,0.059163,0.029383,0.001974,750.24729,1.0,0.0,0.68359375
http://dbpedia.org/resource/University_School_of_Law_and_Legal_Studies,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/List_of_lieutenant_governors_of_Delhi,1,0.0,0.0,0.001625,0.120524,28.0,0.09402,0.044817,0.00158,222.328157,1.0,0.0,0.669921875
http://dbpedia.org/resource/University_of_Glasgow,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Katherine_Grainger,1,0.318048,0.003916,0.087375,0.144198,10570.0,0.129303,0.054443,0.000217,3815.910239,1.0,0.0,0.669921875
http://dbpedia.org/resource/University_of_Calicut,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/V._P._Suhair,0,0.114377,0.007692,0.013875,0.091345,2220.0,0.058191,0.025622,0.00042,1488.143126,0.0,0.0,0.380859375
http://dbpedia.org/resource/University_of_London,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Amartya_Sen,0,0.389871,0.000743,0.011375,0.12921,83330.0,0.166227,0.087043,7.2e-05,1489.331727,0.0,0.0,0.380859375
http://dbpedia.org/resource/University_of_Rajasthan,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Vibhuti_Bhushan_Sharma,0,0.173081,0.014286,0.014,0.358197,390.0,0.690492,0.275739,0.00102,2060.188804,0.0,0.0,0.37890625
http://dbpedia.org/resource/Tasmanian_Institute_of_Agriculture,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Peter_Rathjen,0,0.0,0.0,0.0025,0.302793,80.0,0.679853,0.221942,0.000155,404.07557,0.0,0.0,0.341796875
http://dbpedia.org/resource/University_of_Dar_es_Salaam,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Walter_Rodney,0,0.0,0.0,0.0,0.064085,342.0,0.032582,0.013524,1.1e-05,-15.981368,0.0,0.0,0.427734375
http://dbpedia.org/resource/Ulster_University_at_Coleraine,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Paddy_Nixon,0,0.0,0.0,0.0025,0.2943,88.0,0.679853,0.211393,0.000147,422.815604,0.0,0.0,0.349609375
http://dbpedia.org/resource/University_of_Plymouth,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Andrea_Polli,0,0.0,0.0,0.007,0.41906,212.0,0.568167,0.257233,7.3e-05,1324.784595,0.0,0.0,0.400390625
http://dbpedia.org/resource/University_of_Portsmouth,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Andrew_Miller_(politician),0,0.0,0.0,0.000625,0.083795,376.0,0.061472,0.027825,0.000117,43.559304,0.0,0.0,0.400390625
http://dbpedia.org/resource/University_of_Jaffna,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/W._L._Jeyasingham,0,0.0,0.0,0.000875,0.113327,115.0,0.086536,0.04622,0.000704,146.860684,0.0,0.0,0.396484375
http://dbpedia.org/resource/University_of_Technology_Sarawak,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Annuar_Rapaee,0,0.514778,0.176471,0.012625,0.269684,75.0,0.625978,0.200322,0.008177,941.289874,0.0,0.0,0.33203125
http://dbpedia.org/resource/University_of_Putra_Malaysia,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Amirudin_Shari,0,0.0,0.0,0.015625,0.274796,644.0,0.690492,0.229746,0.000739,3784.608846,0.0,0.0,0.396484375
http://dbpedia.org/resource/University_of_Lincoln,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Andrea_Jenkyns,0,0.096664,0.02439,0.009,0.260878,425.0,0.690492,0.212932,0.000631,1112.475724,0.0,0.0,0.380859375
http://dbpedia.org/resource/University_of_Malta,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Francisco_Ximénez_de_Tejada,0,0.0,0.0,0.000125,0.074625,728.0,0.040979,0.026547,0.000122,1.246166,0.0,0.0,0.400390625
http://dbpedia.org/resource/University_of_Pretoria,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Tawana_Kupe,0,0.0,0.0,0.047375,0.41906,1456.0,0.679853,0.334393,0.000273,4320.036004,0.0,0.0,0.400390625
http://dbpedia.org/resource/University_of_Hull,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Alister_Hardy,0,0.0,0.0,0.000625,0.087065,1550.0,0.061539,0.030534,0.000119,85.699156,0.0,0.0,0.400390625
