subject,predicate,object,truth,adamic_adar,degree_product,jaccard,katz,kl,kl_rel,ks,pathent,simrank,pra,predpath,ensemble_score
http://dbpedia.org/resource/Muhammad_Affash_al-Adwan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/California,1,0.0,218412.0,0.0,0.00225,0.058402,0.113129,0.037973,320.401994,4.6e-05,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Marc_Anthony,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jennifer_Lopez,1,5.451785,11456.0,0.056522,0.18,0.128257,0.28805,0.202693,11385.835468,0.000902,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Elbert_A._Woodward,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/New_York_City,1,0.099153,191928.0,4.2e-05,3.695125,0.061761,0.141546,0.04182,35619.337153,0.000116,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Miranda_Priestly,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Novel,1,0.0,9667.0,0.0,0.17375,0.063205,0.06504,0.030225,3486.55357,0.000495,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Jude_Law,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Sadie_Frost,1,1.750323,1340.0,0.060976,0.0155,0.168304,0.273717,0.25925,228.196832,0.001252,0.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Karrine_Steffans,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Darius_McCrary,1,0.0,80.0,0.0,0.004,0.058414,0.05053,0.032027,1423.567715,8.6e-05,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Brittany_Murphy,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Simon_Monjack,1,0.28753,308.0,0.040816,0.01225,0.119152,0.104065,0.043821,1534.860345,0.00137,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Hadassah_Lieberman,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1,0.0,1197.0,0.0,0.024125,0.064591,0.07983,0.027698,4636.275212,7.5e-05,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Margot_Kidder,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/John_Heard_(actor),1,0.0,3498.0,0.0,0.00025,0.101111,0.137084,0.097553,16.080282,7.5e-05,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Scarlett_Johansson,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Ryan_Reynolds,1,0.0,3968.0,0.0,0.0205,0.079339,0.096027,0.061669,5362.534238,8.8e-05,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Antoinette_Feuerwerker,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1,0.480898,1197.0,0.00565,0.02975,0.121638,0.303948,0.066977,4939.912828,0.000898,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Sybil_Sheridan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1,0.0,342.0,0.0,0.023375,0.0,0.0,0.0,4710.401612,0.000259,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Sonia_Agarwal,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Selvaraghavan,1,1.391138,594.0,0.065217,0.0155,0.156856,0.264301,0.233113,351.783456,0.002805,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Harry_Froboess,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Berlin,1,0.100393,35007.0,0.0002,1.121125,0.059686,0.089905,0.025137,4098.77492,0.000132,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Rebecca_Budig,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Bob_Guiney,1,0.0,40.0,0.0,0.0,0.063913,0.05599,0.027295,-19.077288,3.5e-05,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Alexa_Nikolas,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Milosh,1,0.0,56.0,0.0,0.0,0.054788,0.046691,0.021638,-18.591862,3.2e-05,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Şebnem_Dönmez,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Ezel_Akay,1,0.0,77.0,0.0,0.002875,0.068813,0.065669,0.031981,879.927084,0.000281,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Nicholas_Tse,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Cecilia_Cheung,1,0.901898,1650.0,0.036585,0.0195,0.14917,0.245457,0.160159,2301.369103,0.000901,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Mylène_Jampanoï,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Milind_Soman,1,0.45512,310.0,0.025,0.007875,0.150802,0.253179,0.086304,1051.728412,0.001175,1.0,1.0,0.7310585786300049
http://dbpedia.org/resource/Leon_Lai__Leon_Lai__1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Gaile_Lok,1,0.0,12.0,0.0,0.000125,0.102359,0.085563,0.027456,2.925364,0.000583,0.0,0.0,0.2689414213699951
http://dbpedia.org/resource/Stokely_Carmichael,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Miriam_Makeba,1,0.0,231.0,0.0,0.006125,0.069817,0.066445,0.041265,2923.397278,5.3e-05,1.0,1.0,0.7310585786300049
